dandiset_id,asset_id,asset_path,session_id,mouse_id,date,total_unit_count,qc_unit_count,probe_count,probe_names
001637,b2f4bb1b-5092-4392-b4fa-b25802ea7769,sub-830852/sub-830852_ses-ecephys-830852-2026-02-24-10-20-58_ecephys.nwb,830852_2026-02-24_10-20-58,830852,2026-02-24,2845,1519,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,6f14398a-7abc-446c-a5ab-c008f52c7129,sub-830852/sub-830852_ses-ecephys-830852-2026-02-25-10-32-11_ecephys.nwb,830852_2026-02-25_10-32-11,830852,2026-02-25,2766,1342,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,3ffe2e3d-9c41-459f-819f-1b72ac5284a2,sub-830852/sub-830852_ses-ecephys-830852-2026-02-26-10-49-56_ecephys.nwb,830852_2026-02-26_10-49-56,830852,2026-02-26,2612,1335,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,ed0a9668-90f7-45bd-9b2f-c62905a24f07,sub-832691/sub-832691_ses-ecephys-832691-2026-03-23-11-28-47_ecephys.nwb,832691_2026-03-23_11-28-47,832691,2026-03-23,3365,1652,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,e8dc5ef4-720b-4fb4-a493-e8dc2ef2b8d6,sub-832691/sub-832691_ses-ecephys-832691-2026-03-24-10-04-30_ecephys.nwb,832691_2026-03-24_10-04-30,832691,2026-03-24,3413,1555,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,2376172b-955a-4533-9342-fdb699cf92fc,sub-832691/sub-832691_ses-ecephys-832691-2026-03-25-10-22-33_ecephys.nwb,832691_2026-03-25_10-22-33,832691,2026-03-25,3174,1390,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,2255d7ed-7924-4b4f-9823-ac28d871463f,sub-832691/sub-832691_ses-ecephys-832691-2026-03-26-10-51-37_ecephys.nwb,832691_2026-03-26_10-51-37,832691,2026-03-26,2648,1354,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,4b1a34e9-8ddf-4b70-a19c-eb9941e57e19,sub-834686/sub-834686_ses-ecephys-834686-2026-03-23-17-08-31_ecephys.nwb,834686_2026-03-23_17-08-31,834686,2026-03-23,3243,1786,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,62264fed-94d4-4115-a875-88625ffd2686,sub-834686/sub-834686_ses-ecephys-834686-2026-03-24-15-41-18_ecephys.nwb,834686_2026-03-24_15-41-18,834686,2026-03-24,3699,2164,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,8bafe4a5-40fc-42a4-a7c4-eea4acbc6fca,sub-834686/sub-834686_ses-ecephys-834686-2026-03-25-15-47-48_ecephys.nwb,834686_2026-03-25_15-47-48,834686,2026-03-25,3099,1794,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,41767a03-31fc-4ceb-90eb-d31228f3c3cc,sub-834686/sub-834686_ses-ecephys-834686-2026-03-26-16-15-13_ecephys.nwb,834686_2026-03-26_16-15-13,834686,2026-03-26,3163,1628,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,7fbb5805-b423-4dba-b7d6-9a4af48a2023,sub-834687/sub-834687_ses-ecephys-834687-2026-03-16-16-33-30_ecephys.nwb,834687_2026-03-16_16-33-30,834687,2026-03-16,3670,2137,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,3cbaa2f1-687c-438f-adea-358b4893383f,sub-834687/sub-834687_ses-ecephys-834687-2026-03-17-16-18-25_ecephys.nwb,834687_2026-03-17_16-18-25,834687,2026-03-17,3701,1744,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,ececeb0e-42cd-401f-9545-b666356e8b6d,sub-834687/sub-834687_ses-ecephys-834687-2026-03-18-15-50-10_ecephys.nwb,834687_2026-03-18_15-50-10,834687,2026-03-18,3133,1752,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,bf725c9c-38cd-4c41-b632-5347bcc18954,sub-834687/sub-834687_ses-ecephys-834687-2026-03-19-16-06-07_ecephys.nwb,834687_2026-03-19_16-06-07,834687,2026-03-19,3328,1999,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,0cc012fd-e92c-4087-95ef-150d00d59b42,sub-834691/sub-834691_ses-ecephys-834691-2026-02-16-11-02-15_ecephys.nwb,834691_2026-02-16_11-02-15,834691,2026-02-16,4234,2434,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,9a3f32bf-ee7f-4b36-ae05-6f8217d8a1f0,sub-834691/sub-834691_ses-ecephys-834691-2026-02-17-10-49-35_ecephys.nwb,834691_2026-02-17_10-49-35,834691,2026-02-17,2971,1299,5,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE
001637,641156f5-4e54-42b2-9017-1134cf3115ea,sub-848387/sub-848387_ses-ecephys-848387-2026-05-04-16-19-01_ecephys.nwb,848387_2026-05-04_16-19-01,848387,2026-05-04,3428,2251,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,c7ec7bc4-3836-467a-af53-33a6605a1d61,sub-848387/sub-848387_ses-ecephys-848387-2026-05-05-15-55-50_ecephys.nwb,848387_2026-05-05_15-55-50,848387,2026-05-05,3129,1936,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,409f5707-a886-46d7-b392-578b55fa8517,sub-848387/sub-848387_ses-ecephys-848387-2026-05-06-15-09-10_ecephys.nwb,848387_2026-05-06_15-09-10,848387,2026-05-06,2596,1542,5,ProbeA;ProbeB;ProbeC;ProbeD;ProbeF
001637,27b29de0-84f2-4eb5-9998-c32065b528d3,sub-848387/sub-848387_ses-ecephys-848387-2026-05-07-15-46-10_ecephys.nwb,848387_2026-05-07_15-46-10,848387,2026-05-07,3378,2242,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,7692aa01-1c14-47ae-93aa-bca6d8f7b050,sub-848390/sub-848390_ses-ecephys-848390-2026-05-04-10-22-33_ecephys.nwb,848390_2026-05-04_10-22-33,848390,2026-05-04,4318,2001,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,755840d4-f9e5-4517-83ad-4273521e548c,sub-848390/sub-848390_ses-ecephys-848390-2026-05-05-10-08-25_ecephys.nwb,848390_2026-05-05_10-08-25,848390,2026-05-05,3605,2002,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,0e5b530a-e22d-4bf8-a5d7-5108229c899a,sub-848390/sub-848390_ses-ecephys-848390-2026-05-06-09-54-56_ecephys.nwb,848390_2026-05-06_09-54-56,848390,2026-05-06,3305,1893,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
001637,2ee1451c-987e-4dfb-b2eb-be5cd3d52adc,sub-848390/sub-848390_ses-ecephys-848390-2026-05-07-10-22-45_ecephys.nwb,848390_2026-05-07_10-22-45,848390,2026-05-07,3139,1733,6,ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF
