Source_Row,Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
631,2,Sequence mismatch block,26,630,18,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
632,2,Sequence mismatch block,26,631,18,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
633,2,Sequence mismatch block,26,632,18,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
634,2,Sequence mismatch block,26,633,18,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
635,2,Sequence mismatch block,26,634,18,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
636,2,Sequence mismatch block,26,635,19,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
637,2,Sequence mismatch block,26,636,19,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
638,2,Sequence mismatch block,26,637,19,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
639,2,Sequence mismatch block,26,638,19,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
640,2,Sequence mismatch block,26,639,19,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
641,2,Sequence mismatch block,26,640,20,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
642,2,Sequence mismatch block,26,641,20,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
643,2,Sequence mismatch block,26,642,20,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
644,2,Sequence mismatch block,26,643,20,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
645,2,Sequence mismatch block,26,644,20,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
646,2,Sequence mismatch block,26,645,21,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
